impact_method,characterization,reference,unit
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by land occupation (H.A),Damage to Ecosystem Quality caused by land occupation (H.A),PDF*m2*yr
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by land conversion (H.A),Damage to Ecosystem Quality caused by land conversion (H.A),PDF*m2
ECOINDICATOR 99 (H.A),Damage to Resources caused by extraction of minerals (H.A),Damage to Resources caused by extraction of minerals (H.A),MJ surplus energy
ECOINDICATOR 99 (H.A),Damage to Resources caused by extraction of fossil fuels (H.A),Damage to Resources caused by extraction of fossil fuels (H.A),MJ surplus energy
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),Carcinogenic effects on humans (E.E),DALY
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),Damages to human health caused by climate change (E.E),DALY
ECOINDICATOR 99 (E.E),Human health effects caused by ionising radiation (E.E),Human health effects caused by ionising radiation (E.E),DALY
ECOINDICATOR 99 (E.E),Human health effects caused by ozone layer depletion (E.E),Human health effects caused by ozone layer depletion (E.E),DALY
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by land occupation (E.E),Damage to Ecosystem Quality caused by land occupation (E.E),PDF*m2*yr
