code,name,synonym,unit
Cd_nc_26.0,Cd - non combustion - Glass production,E_Cd_nc_26.0,kg
Cd_nc_45.0,"Cd - non combustion - Nickel, unwrought",E_Cd_nc_45.0,kg
Cd_nc_58.0,Cd - non combustion - Production of coke oven coke,E_Cd_nc_58.0,kg
Cd_nc_59.0,Cd - non combustion - Production of gascoke,E_Cd_nc_59.0,kg
Cd_nc_62.0,"Cd - non combustion - Refined copper; unwrought, not alloyed",E_Cd_nc_62.0,kg
Cd_nc_63.0,"Cd - non combustion - Refined lead, unwrought",E_Cd_nc_63.0,kg
Cd_nc_69.1,Cd - non combustion - Steel production: basic oxygen furnace,E_Cd_nc_69.1,kg
Cd_nc_69.2,Cd - non combustion - Steel production: electric arc furnace,E_Cd_nc_69.2,kg
Cd_nc_69.3,Cd - non combustion - Steel production: open hearth furnace,E_Cd_nc_69.3,kg
Cd_nc_74.0,Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_Cd_nc_74.0,kg
Cd_nc_78.0,"Cd - non combustion - Zinc, unwrought, not alloyed",E_Cd_nc_78.0,kg
Cr_nc_1.1,Cr - non combustion - Agglomeration plant - pellets,E_Cr_nc_1.1,kg
Cr_nc_1.2,Cr - non combustion - Agglomeration plant - sinter,E_Cr_nc_1.2,kg
Cr_nc_26.0,Cr - non combustion - Glass production,E_Cr_nc_26.0,kg
Cr_nc_50.0,"Cr - non combustion - Pig iron production, blast furnace",E_Cr_nc_50.0,kg
Cr_nc_69.1,Cr - non combustion - Steel production: basic oxygen furnace,E_Cr_nc_69.1,kg
Cr_nc_69.2,Cr - non combustion - Steel production: electric arc furnace,E_Cr_nc_69.2,kg
Cr_nc_69.3,Cr - non combustion - Steel production: open hearth furnace,E_Cr_nc_69.3,kg
Cu_nc_1.1,Cu - non combustion - Agglomeration plant - pellets,E_Cu_nc_1.1,kg
Cu_nc_1.2,Cu - non combustion - Agglomeration plant - sinter,E_Cu_nc_1.2,kg
Cu_nc_26.0,Cu - non combustion - Glass production,E_Cu_nc_26.0,kg
Cu_nc_50.0,"Cu - non combustion - Pig iron production, blast furnace",E_Cu_nc_50.0,kg
Cu_nc_69.1,Cu - non combustion - Steel production: basic oxygen furnace,E_Cu_nc_69.1,kg
Cu_nc_69.2,Cu - non combustion - Steel production: electric arc furnace,E_Cu_nc_69.2,kg
Cu_nc_69.3,Cu - non combustion - Steel production: open hearth furnace,E_Cu_nc_69.3,kg
HCB_nc_1.1,HCB - non combustion - Agglomeration plant - pellets,E_HCB_nc_1.1,kg
HCB_nc_1.2,HCB - non combustion - Agglomeration plant - sinter,E_HCB_nc_1.2,kg
Hg_nc_1.1,Hg - non combustion - Agglomeration plant - pellets,E_Hg_nc_1.1,kg
Hg_nc_1.2,Hg - non combustion - Agglomeration plant - sinter,E_Hg_nc_1.2,kg
Hg_nc_26.0,Hg - non combustion - Glass production,E_Hg_nc_26.0,kg
Hg_nc_45.0,"Hg - non combustion - Nickel, unwrought",E_Hg_nc_45.0,kg
Hg_nc_50.0,"Hg - non combustion - Pig iron production, blast furnace",E_Hg_nc_50.0,kg
Hg_nc_58.0,Hg - non combustion - Production of coke oven coke,E_Hg_nc_58.0,kg
Hg_nc_59.0,Hg - non combustion - Production of gascoke,E_Hg_nc_59.0,kg
