name,synonym,unit
Domestic Extraction Used - Primary Crops - Pigeon peas,DEU_1.04.070,kt
Domestic Extraction Used - Primary Crops - String beans,DEU_1.04.071,kt
Domestic Extraction Used - Primary Crops - Coconuts,DEU_1.04.072,kt
Domestic Extraction Used - Primary Crops - Okra,DEU_1.04.073,kt
Domestic Extraction Used - Primary Crops - Onions,DEU_1.04.074,kt
"Domestic Extraction Used - Primary Crops - Onions, dry",DEU_1.04.075,kt
Domestic Extraction Used - Primary Crops - Other melons,DEU_1.04.076,kt
Domestic Extraction Used - Primary Crops - Watermelons,DEU_1.04.077,kt
Domestic Extraction Used - Primary Crops - Bananas,DEU_1.04.078,kt
Domestic Extraction Used - Primary Crops - Cashewapple,DEU_1.04.079,kt
Domestic Extraction Used - Primary Crops - Cranberries,DEU_1.04.080,kt
Domestic Extraction Used - Primary Crops - Fruit Fresh Nes,DEU_1.04.081,kt
"Domestic Extraction Used - Primary Crops - Fruit, tropical fresh nes",DEU_1.04.082,kt
"Domestic Extraction Used - Primary Crops - Mangoes, mangosteens, guavas",DEU_1.04.083,kt
Domestic Extraction Used - Primary Crops - Papayas,DEU_1.04.084,kt
Domestic Extraction Used - Primary Crops - Plantains,DEU_1.04.085,kt
Domestic Extraction Used - Primary Crops - Arecanuts,DEU_1.04.086,kt
"Domestic Extraction Used - Primary Crops - Brazil nuts, with shell",DEU_1.04.087,kt
"Domestic Extraction Used - Primary Crops - Cashew nuts, with shell",DEU_1.04.088,kt
Domestic Extraction Used - Primary Crops - Kolanuts,DEU_1.04.089,kt
"Domestic Extraction Used - Primary Crops - Nuts, nes",DEU_1.04.090,kt
"Domestic Extraction Used - Primary Crops - Leguminous vegetables, nes",DEU_1.04.091,kt
"Domestic Extraction Used - Primary Crops - Maize, green",DEU_1.04.092,kt
"Domestic Extraction Used - Primary Crops - Pome fruit, nes",DEU_1.04.093,kt
Domestic Extraction Used - Primary Crops - Cassava leaves,DEU_1.04.094,kt
Domestic Extraction Used - Primary Crops - Groundnuts in Shell,DEU_1.05.001,kt
Domestic Extraction Used - Primary Crops - Hempseed,DEU_1.05.002,kt
Domestic Extraction Used - Primary Crops - Linseed,DEU_1.05.003,kt
Domestic Extraction Used - Primary Crops - Melonseed,DEU_1.05.004,kt
Domestic Extraction Used - Primary Crops - Mustard Seed,DEU_1.05.005,kt
Domestic Extraction Used - Primary Crops - Poppy Seed,DEU_1.05.006,kt
Domestic Extraction Used - Primary Crops - Rapeseed,DEU_1.05.007,kt
Domestic Extraction Used - Primary Crops - Safflower Seed,DEU_1.05.008,kt
Domestic Extraction Used - Primary Crops - Sesame Seed,DEU_1.05.009,kt
Domestic Extraction Used - Primary Crops - Soybeans,DEU_1.05.010,kt
Domestic Extraction Used - Primary Crops - Sunflower Seed,DEU_1.05.011,kt
Domestic Extraction Used - Primary Crops - Oilseeds nec,DEU_1.05.012,kt
Domestic Extraction Used - Primary Crops - Oil Palm Fruit,DEU_1.05.013,kt
Domestic Extraction Used - Primary Crops - Castor oil seed,DEU_1.05.014,kt
Domestic Extraction Used - Primary Crops - Karite Nuts,DEU_1.05.015,kt
Domestic Extraction Used - Primary Crops - Tung Nuts,DEU_1.05.016,kt
Domestic Extraction Used - Primary Crops - Jojoba Seeds,DEU_1.05.017,kt
Domestic Extraction Used - Primary Crops - Tallowtree Seeds,DEU_1.05.018,kt
Domestic Extraction Used - Primary Crops - Cottonseed,DEU_1.05.019,kt
Domestic Extraction Used - Primary Crops - Sugar Beets,DEU_1.06.001,kt
Domestic Extraction Used - Primary Crops - Sugar Cane,DEU_1.06.002,kt
Domestic Extraction Used - Primary Crops - Sugar Crops nes,DEU_1.06.003,kt
Domestic Extraction Used - Primary Crops - Cotton Lint,DEU_1.07.001,kt
Domestic Extraction Used - Primary Crops - Flax Fibre and Tow,DEU_1.07.002,kt
Domestic Extraction Used - Primary Crops - Hemp Fibre and Tow,DEU_1.07.003,kt
Domestic Extraction Used - Primary Crops - Abaca,DEU_1.07.004,kt
Domestic Extraction Used - Primary Crops - Agave Fibres nes,DEU_1.07.005,kt
Domestic Extraction Used - Primary Crops - Coir,DEU_1.07.006,kt
Domestic Extraction Used - Primary Crops - Fibre Crops nes,DEU_1.07.007,kt
Domestic Extraction Used - Primary Crops - Ramie,DEU_1.07.008,kt
Domestic Extraction Used - Primary Crops - Sisal,DEU_1.07.009,kt
Domestic Extraction Used - Primary Crops - Kapok Fibre,DEU_1.07.010,kt
Domestic Extraction Used - Primary Crops - Jute and Jute-like Fibres,DEU_1.07.011,kt
Domestic Extraction Used - Primary Crops - Other Bastfibres,DEU_1.07.012,kt
"Domestic Extraction Used - Primary Crops - Anise, Badian, Fennel",DEU_1.08.001,kt
Domestic Extraction Used - Primary Crops - Chicory Roots,DEU_1.08.002,kt
"Domestic Extraction Used - Primary Crops - Coffee, Green",DEU_1.08.003,kt
Domestic Extraction Used - Primary Crops - Hops,DEU_1.08.004,kt
Domestic Extraction Used - Primary Crops - Peppermint,DEU_1.08.005,kt
"Domestic Extraction Used - Primary Crops - Pyrethrum, Dried Flowers",DEU_1.08.006,kt
Domestic Extraction Used - Primary Crops - Tea,DEU_1.08.007,kt
Domestic Extraction Used - Primary Crops - Spices nec,DEU_1.08.008,kt
Domestic Extraction Used - Primary Crops - Cocoa Beans,DEU_1.08.009,kt
Domestic Extraction Used - Primary Crops - Mate,DEU_1.08.010,kt
Domestic Extraction Used - Primary Crops - Tobacco Leaves,DEU_1.08.011,kt
Domestic Extraction Used - Primary Crops - Natural Rubber,DEU_1.08.012,kt
Domestic Extraction Used - Primary Crops - Cinnamon,DEU_1.08.013,kt
Domestic Extraction Used - Primary Crops - Cloves,DEU_1.08.014,kt
Domestic Extraction Used - Primary Crops - Ginger,DEU_1.08.015,kt
"Domestic Extraction Used - Primary Crops - Nutmeg, mace and cardamoms",DEU_1.08.016,kt
Domestic Extraction Used - Primary Crops - Vanilla,DEU_1.08.017,kt
Domestic Extraction Used - Primary Crops - Pepper,DEU_1.08.018,kt
"Domestic Extraction Used - Primary Crops - Chillies and peppers, dry",DEU_1.08.019,kt
Domestic Extraction Used - Primary Crops - Tea nes,DEU_1.08.020,kt
Domestic Extraction Used - Primary Crops - Honey,DEU_1.08.021,kt
Domestic Extraction Used - Primary Crops - Beeswax,DEU_1.08.022,kt
Domestic Extraction Used - Primary Crops - Kapokseed in Shell,DEU_1.08.023,kt
Domestic Extraction Used - Crop residues - Straw,DEU_1.09.001,kt
Domestic Extraction Used - Crop residues - Feed,DEU_1.09.002,kt
Domestic Extraction Used - Fodder crops - Alfalfa for Forage and Silage,DEU_1.10.001,kt
Domestic Extraction Used - Fodder crops - Beets for Fodder,DEU_1.10.002,kt
Domestic Extraction Used - Fodder crops - Cabbage for Fodder,DEU_1.10.003,kt
Domestic Extraction Used - Fodder crops - Carrots for Fodder,DEU_1.10.004,kt
Domestic Extraction Used - Fodder crops - Clover for Forage and Silage,DEU_1.10.005,kt
Domestic Extraction Used - Fodder crops - Maize for Forage and Silage,DEU_1.10.006,kt
Domestic Extraction Used - Fodder crops - Other grasses,DEU_1.10.007,
"Domestic Extraction Used - Fodder crops - Rye Grass, Forage and Silage",DEU_1.10.008,kt
Domestic Extraction Used - Fodder crops - Sorghum for Forage and Silage,DEU_1.10.009,kt
Domestic Extraction Used - Fodder crops - Swedes for Fodder,DEU_1.10.010,kt
Domestic Extraction Used - Fodder crops - Turnips for Fodder,DEU_1.10.011,kt
"Domestic Extraction Used - Fodder crops - Vegetables and Roots, Fodder",DEU_1.10.012,kt
Domestic Extraction Used - Fodder crops - Forage Products nec,DEU_1.10.013,kt
Domestic Extraction Used - Fodder crops - Grasses nec for Forage and Silage,DEU_1.10.014,kt
Domestic Extraction Used - Fodder crops - Leguminous nec for forage and Silage,DEU_1.10.015,kt
Domestic Extraction Used - Fodder crops - Green Oilseeds for Fodder,DEU_1.10.016,kt
Domestic Extraction Used - Grazing,DEU_1.10.017,kt
Domestic Extraction Used - Forestry - Coniferous wood - Industrial roundwood,DEU_1.11.001,kt
Domestic Extraction Used - Forestry - Coniferous wood - Wood fuel,DEU_1.11.002,kt
Domestic Extraction Used - Forestry - Non-coniferous wood - Industrial roundwood,DEU_1.11.003,kt
Domestic Extraction Used - Forestry - Non-coniferous wood - Wood fuel,DEU_1.11.004,kt
Domestic Extraction Used - Forestry - Raw materials other than wood,DEU_1.11.005,
Domestic Extraction Used - Forestry - Kapok Fruit,DEU_1.11.006,
Domestic Extraction Used - Forestry - Natural Gums,DEU_1.11.007,kt
Domestic Extraction Used - Fishery - Aquatic plants,DEU_1.12.001,kt
Domestic Extraction Used - Fishery - Marine fish catch,DEU_1.12.002,kt
Domestic Extraction Used - Fishery - Inland waters fish catch,DEU_1.12.003,kt
Domestic Extraction Used - Fishery - Other (e.g. Aquatic mammals),DEU_1.12.004,kt
Domestic Extraction Used - Metal Ores - Uranium and thorium ores,DEU_2.1,kt
Domestic Extraction Used - Metal Ores - Iron ores,DEU_2.2,kt
Domestic Extraction Used - Metal Ores - Copper ores,DEU_2.3,kt
